8
1 2 3 4 5 6 7 8 
2 1 4 3 6 5 8 7 
1 2 3 4 5 6 7 8 
2 1 4 3 6 5 8 7 
2 4 1 6 3 8 5 7 
4 2 6 1 8 3 7 5 
2 4 1 6 3 8 5 7 
4 2 6 1 8 3 7 5 
4 6 2 8 1 7 3 5 
6 4 8 2 7 1 5 3 
4 6 2 8 1 7 3 5 
6 4 8 2 7 1 5 3 
6 8 4 7 2 5 1 3 
8 6 7 4 5 2 3 1 
6 8 4 7 2 5 1 3 
8 6 7 4 5 2 3 1 
8 7 6 5 4 3 2 1 
7 8 5 6 3 4 1 2 
8 7 6 5 4 3 2 1 
7 8 5 6 3 4 1 2 
7 5 8 3 6 1 4 2 
5 7 3 8 1 6 2 4 
7 5 8 3 6 1 4 2 
5 7 3 8 1 6 2 4 
5 3 7 1 8 2 6 4 
3 5 1 7 2 8 4 6 
5 3 7 1 8 2 6 4 
3 5 1 7 2 8 4 6 
3 1 5 2 7 4 8 6 
1 3 2 5 4 7 6 8 
3 1 5 2 7 4 8 6 
1 3 2 5 4 7 6 8 
1 2 3 4 5 6 7 8 
